player_id,player_name,slug,position,club,league,style_tags
96353,Bernardo Silva,b-silva,MF,Manchester City,Premier League,Creator
600687,Vinicius Junior,vinicius,FW,Real Madrid,La Liga,"Inside Forward, Prolific, Dribbler"
154421,Erling Haaland,e-haaland,FW,Manchester City,Premier League,"Complete Forward, Prolific"
129602,Bruno Fernandes,b-fernandes,MF,Manchester United,Premier League,"Creator, Creative"
37429246,Florian Wirtz,f-wirtz,MF,Liverpool,Premier League,"Creator, Creative"
24799984,Michael Olise,m-olise,FW,FC Bayern München,Bundesliga,"Inside Forward, Prolific, Dribbler"
37593237,Warren Zaïre-Emery,w-zaire-emery,MF,Paris Saint Germain,Ligue 1,"Metronome, Creative"
96611,Kylian Mbappé,k-mbappe,FW,Real Madrid,La Liga,"Dynamic Forward, Prolific, Dribbler"
997,Harry Kane,h-kane,FW,FC Bayern München,Bundesliga,"Complete Forward, Prolific"
6838,James Maddison,j-maddison,MF,Tottenham Hotspur,Premier League,"Creator, Creative"
32438,Christian Pulisic,c-pulisic,FW,AC Milan,Serie A,"Inside Forward, Prolific"
37255840,Jude Bellingham,j-bellingham,MF,Real Madrid,La Liga,"Creator, Creative"
37317392,Xavi Simons,x-simons,MF,Tottenham Hotspur,Premier League,"Creator, Creative"
333594,Lautaro Martínez,l-martinez,FW,Inter,Serie A,"Poacher, Prolific"
525790,Takefusa Kubo,t-kubo-525790,FW,Real Sociedad,La Liga,"Dynamic Forward, Dribbler"
37316549,Alejandro Garnacho,a-garnacho,FW,Chelsea,Premier League,Complete Forward
26823,Martin Ødegaard,m-odegaard-26823,MF,Arsenal,Premier League,"Creator, Creative"
37656179,Lamine Yamal,l-yamal-nasraoui-ebana,FW,FC Barcelona,La Liga,"Inside Forward, Prolific, Dribbler"
186910,Rodri,rodri,MF,Manchester City,Premier League,"Ball-Winner, Defensive"
37592729,João Neves,j-goncalves-neves,MF,Paris Saint Germain,Ligue 1,Metronome
1371,Kevin De Bruyne,k-de-bruyne,MF,Napoli,Serie A,"Creator, Creative"
187260,Achraf Hakimi,a-hakimi-mouh,DF,Paris Saint Germain,Ligue 1,"Active Full-Back, Ball-Playing"
24838191,Josko Gvardiol,j-gvardiol,DF,Manchester City,Premier League,"Ball-Playing CB, Ball-Playing, Aerial"
37647009,Endrick,e-moreira-de-sousa,FW,Olympique Lyonnais,Ligue 1,"Dynamic Forward, Dribbler"
262644,Alphonso Davies,a-davies,DF,FC Bayern München,Bundesliga,"Active Full-Back, Ball-Playing"
1193,N'Golo Kanté,n-kante,MF,Fenerbahçe,Super Lig,Metronome
455805,Victor Osimhen,v-osimhen,FW,Galatasaray,Super Lig,"Complete Forward, Prolific"
947,Luis Suárez,l-suarez-diaz,FW,Inter Miami,Major League Soccer,Complete Forward
185658,Antoine Griezmann,a-griezmann,FW,Atlético Madrid,La Liga,"Link-up Striker, Prolific"
929,Memphis Depay,m-depay,FW,Corinthians,Serie A,Complete Forward
30922,Marco Reus,m-reus,MF,LA Galaxy,Major League Soccer,"Attacking Midfield, Creator, Creative"
186320,Neymar,neymar,MF,Santos,Serie A,"Creator, Creative"
159699,Rúben Neves,r-da-silva-neves,MF,Al Hilal,Pro League,"Creator, Creative"
580,Cristiano Ronaldo,c-ronaldo,FW,Al Nassr,Pro League,"Poacher, Prolific"
971,Riyad Mahrez,r-mahrez,FW,Al Ahli,Pro League,Forward
186982,Youssef En-Nesyri,y-en-nesyri,FW,Al Ittihad,Pro League,"Poacher, Prolific"
184798,Lionel Messi,l-messi,FW,Inter Miami,Major League Soccer,"Inside Forward, Prolific, Dribbler"
93948,Karim Benzema,k-benzema,FW,Al Hilal,Pro League,"Complete Forward, Prolific"
1461,Roberto Firmino,r-firmino,FW,Al Sadd,Stars League,"Complete Forward, Prolific"
4313,Heung-min Son,h-son,FW,Los Angeles FC,Major League Soccer,Inside Forward
1389,Sadio Mané,s-mane,FW,Al Nassr,Pro League,"Inside Forward, Prolific, Dribbler"
5569,Alex Cairns,a-cairns,GK,Leeds United,Premier League,Sweeper-Keeper
2510970,Urko Izeta,u-iruretagoiena-lertxundi,FW,Athletic Club,La Liga,"Poacher, Prolific"
37716600,Lander Astiazaran,l-astiazaran-escabias,MF,Real Sociedad,La Liga,"Creator, Creative"
