player_id,player_name,player_slug,similar_player_id,similar_player_name,similar_player_slug,similarity,rank
96353,Bernardo Silva,b-silva,129602,Bruno Fernandes,b-fernandes,0.872,1
96353,Bernardo Silva,b-silva,162536,Rúben Dias,r-santos-gato-alves-dias,0.866,2
96353,Bernardo Silva,b-silva,37548047,Manu Silva,m-silva,0.871,3
96353,Bernardo Silva,b-silva,37593153,Mateus Fernandes,m-espanha-fernandes,0.859,4
96353,Bernardo Silva,b-silva,73147,Mateo Kovacic,m-kovai,0.857,5
96353,Bernardo Silva,b-silva,336133,Phil Foden,p-foden,0.848,6
96353,Bernardo Silva,b-silva,160072,João Palhinha,j-lobo-alves-palhinha-goncalves,0.854,7
96353,Bernardo Silva,b-silva,23269737,Nico González,n-gonzalez-iglesias,0.842,8
96353,Bernardo Silva,b-silva,37526007,André,a-trindade-da-costa-neto,0.841,9
96353,Bernardo Silva,b-silva,459145,Bruno Guimarães,b-guimaraes-rodriguez-moura,0.84,10
600687,Vinicius Junior,vinicius,7346228,Rodrygo,r-silva-de-goes,0.88,1
600687,Vinicius Junior,vinicius,96611,Kylian Mbappé,k-mbappe,0.856,2
600687,Vinicius Junior,vinicius,23688922,Eduardo Camavinga,e-camavinga,0.853,3
600687,Vinicius Junior,vinicius,160258,Raphinha,raphinha-160258,0.846,4
600687,Vinicius Junior,vinicius,260862,Federico Valverde,f-valverde-dipetta,0.838,5
600687,Vinicius Junior,vinicius,340342,Brahim Díaz,b-abdelkader-diaz,0.839,6
600687,Vinicius Junior,vinicius,37656179,Lamine Yamal,l-yamal-nasraoui-ebana,0.83,7
600687,Vinicius Junior,vinicius,37647009,Endrick,e-moreira-de-sousa,0.837,8
600687,Vinicius Junior,vinicius,525790,Takefusa Kubo,t-kubo-525790,0.837,9
600687,Vinicius Junior,vinicius,12393293,Antony,a-dos-santos,0.835,10
154421,Erling Haaland,e-haaland,34053,Alexander Isak,a-isak,0.859,1
154421,Erling Haaland,e-haaland,997,Harry Kane,h-kane,0.857,2
154421,Erling Haaland,e-haaland,5141,Dominic Calvert-Lewin,d-calvert-lewin,0.843,3
154421,Erling Haaland,e-haaland,336133,Phil Foden,p-foden,0.835,4
154421,Erling Haaland,e-haaland,24818280,Benjamin Sesko,b-eko,0.842,5
154421,Erling Haaland,e-haaland,31000,Robert Lewandowski,r-lewandowski,0.841,6
154421,Erling Haaland,e-haaland,96611,Kylian Mbappé,k-mbappe,0.832,7
154421,Erling Haaland,e-haaland,455805,Victor Osimhen,v-osimhen,0.831,8
154421,Erling Haaland,e-haaland,25514,Alexander Sørloth,a-sorloth,0.837,9
154421,Erling Haaland,e-haaland,15040126,Karim Adeyemi,k-adeyemi,0.836,10
129602,Bruno Fernandes,b-fernandes,37593153,Mateus Fernandes,m-espanha-fernandes,0.932,1
129602,Bruno Fernandes,b-fernandes,159700,Casemiro,c-casimiro,0.874,2
129602,Bruno Fernandes,b-fernandes,29709995,Enzo Fernández,e-fernandez,0.874,3
129602,Bruno Fernandes,b-fernandes,459145,Bruno Guimarães,b-guimaraes-rodriguez-moura,0.869,4
129602,Bruno Fernandes,b-fernandes,96353,Bernardo Silva,b-silva,0.872,5
129602,Bruno Fernandes,b-fernandes,538034,Jadon Sancho,j-sancho,0.864,6
129602,Bruno Fernandes,b-fernandes,332047,Elliot Anderson,e-anderson,0.853,7
129602,Bruno Fernandes,b-fernandes,205411,Fred,f-rodrigues-santos,0.852,8
129602,Bruno Fernandes,b-fernandes,37526007,André,a-trindade-da-costa-neto,0.845,9
